cargo,nome empresa,local,link
Trainee Desenvolvimento,VENHA SER #SANGUELARANJA,Home office,https://br.indeed.com/rc/clk?jk=682d29ec9e458681&fccid=dd616958bd9ddc12&vjs=3
Pessoa desenvolvedora Web Júnior,Terras,Home office,https://br.indeed.com/rc/clk?jk=34b10817655112cc&fccid=f22bac1b159d6087&vjs=3
Pessoa Desenvolvedora Python,Venha para a NeuralMed,Home office,https://br.indeed.com/rc/clk?jk=0adec01eb9e2a6dc&fccid=67f074b0eda9108e&vjs=3
Desenvolvedor Python,Locus Custom Software,Home office,https://br.indeed.com/rc/clk?jk=4cfc3cf79d16906b&fccid=0c389d94a3baff35&vjs=3
Pessoa desenvolvedora nível Estagiário,Terras,Home office,https://br.indeed.com/rc/clk?jk=78d93fd9856bc691&fccid=f22bac1b159d6087&vjs=3
Pessoa Desenvolvedora Python Pl. Cód. 9686 (Segmento Legal Tech),,Home office,https://br.indeed.com/rc/clk?jk=d5db7892b0e2719e&fccid=533959b40d0e9798&vjs=3
DBA Trainee,,Home office,https://br.indeed.com/rc/clk?jk=f4f91861f0b39703&fccid=8186002308ac3918&vjs=3
CIENTISTA DE DADOS JÚNIOR,MRO,Home office,https://br.indeed.com/rc/clk?jk=178e85188a2942f5&fccid=01ec454ab0c3a817&vjs=3
Business Intelligence Analyst (MKT),MATH,Home office,https://br.indeed.com/rc/clk?jk=7d02f64e44e6431a&fccid=969957de8cb482c8&vjs=3
Engenheira(o) de Dados,,Home office,https://br.indeed.com/rc/clk?jk=7bf13ccb0b4dd846&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python,Jobbol,,https://br.indeed.com/rc/clk?jk=4fd013d360f59bdb&fccid=c64032edc49f7500&vjs=3
Analista de Dados - Foco em Meios de Pagamento,,Home office,https://br.indeed.com/rc/clk?jk=cbe2e90442a3373a&fccid=0bedb393cb03c383&vjs=3
Machine Learning,MOST Specialist Technologies,,https://br.indeed.com/rc/clk?jk=b9cfa279e2717ec1&fccid=164a79a2d47e57e3&vjs=3
Pessoa Desenvolvedora Back-End (Banco de Talentos),,Home office,https://br.indeed.com/rc/clk?jk=7fe24faaf2dded0c&fccid=7522264cf9717691&vjs=3
Software Engineer,,Home office,https://br.indeed.com/rc/clk?jk=44499bf72fcd9afa&fccid=dd616958bd9ddc12&vjs=3
